,strain,genus,species,elevation,pH,temperature,moisture,media_LB,media_SF900,province_chaiyaphum,province_kalasin,province_kamphaengphet,province_lampang,province_mahasarakham,province_nakhonratchasima,province_phetchabuns,province_phitsanulok,province_saraburi,province_udonthani,soiltype_clay loam,soiltype_loam,soiltype_sand,soiltype_sandy loam
20006,500,Photorhabdus,luminescens,7.1459844677143876,0.6666666666666665,0.0714285714285714,0.6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20007,501,Photorhabdus,luminescens,7.085901464365611,0.5555555555555554,0.1428571428571428,0.26666666666666666,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20017,509,Photorhabdus,luminescens,4.343805421853684,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20018,510,Xenorhabdus,stockiae,5.62040086571715,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20020,511,Xenorhabdus,stockiae,5.594711379601839,0.6666666666666665,0.7857142857142856,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20023,514,Xenorhabdus,stockiae,5.5093883366279774,1.0,0.7857142857142856,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20024,515,Xenorhabdus,stockiae,5.605802066295998,0.8888888888888884,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20025,516,Xenorhabdus,stockiae,5.855071922202427,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20026,517,Xenorhabdus,stockiae,5.855071922202427,1.0,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20027,518,Xenorhabdus,stockiae,4.189654742026425,1.0,0.9285714285714284,0.06666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20028,519,Photorhabdus,luminescens,4.0943445622221,0.8888888888888884,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20030,520,Xenorhabdus,stockiae,5.3612921657094255,0.22222222222222188,0.6428571428571428,0.33333333333333337,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20031,521,Xenorhabdus,stockiae,5.332718793265369,1.0,0.6428571428571428,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20032,522,Xenorhabdus,stockiae,5.288267030694535,0.7222222222222219,0.7142857142857144,0.2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20033,523,Photorhabdus,luminescens,3.4011973816621555,0.5555555555555554,1.0,0.06666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20035,509,Photorhabdus,luminescens,4.343805421853684,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20036,510,Xenorhabdus,stockiae,5.62040086571715,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20037,511,Xenorhabdus,stockiae,5.594711379601839,0.6666666666666665,0.7857142857142856,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20041,514,Xenorhabdus,stockiae,5.5093883366279774,1.0,0.7857142857142856,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20042,515,Xenorhabdus,stockiae,5.605802066295998,0.8888888888888884,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20043,516,Xenorhabdus,stockiae,5.855071922202427,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20044,517,Xenorhabdus,stockiae,5.855071922202427,1.0,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20045,518,Xenorhabdus,stockiae,4.189654742026425,1.0,0.9285714285714284,0.06666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20046,519,Photorhabdus,luminescens,4.0943445622221,0.8888888888888884,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20047,520,Xenorhabdus,stockiae,5.3612921657094255,0.22222222222222188,0.6428571428571428,0.33333333333333337,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20048,521,Xenorhabdus,stockiae,5.332718793265369,1.0,0.6428571428571428,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20050,522,Xenorhabdus,stockiae,5.288267030694535,0.7222222222222219,0.7142857142857144,0.2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20051,523,Photorhabdus,luminescens,3.4011973816621555,0.5555555555555554,1.0,0.06666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20053,524,Xenorhabdus,stockiae,5.605802066295998,0.8888888888888884,0.7857142857142856,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20054,525,Xenorhabdus,stockiae,5.5093883366279774,1.0,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20055,526,Xenorhabdus,stockiae,5.575949103146316,0.8888888888888884,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20056,527,Photorhabdus,luminescens,5.545177444479562,1.0,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20057,528,Xenorhabdus,stockiae,5.62040086571715,0.8888888888888884,0.7142857142857144,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20058,529,Xenorhabdus,stockiae,5.605802066295998,0.6666666666666665,0.9285714285714284,0.06666666666666667,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20060,530,Xenorhabdus,stockiae,4.394449154672439,1.0,1.0,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20061,531,Xenorhabdus,stockiae,4.304065093204169,1.0,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20062,532,Xenorhabdus,stockiae,4.394449154672439,1.0,0.8571428571428572,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20063,533,Photorhabdus,luminescens,0.0,0.6666666666666665,1.0,0.06666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20064,534,Xenorhabdus,stockiae,5.402677381872279,0.4444444444444442,0.6428571428571428,0.4666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20065,535,Xenorhabdus,stockiae,5.365976015021851,1.0,0.5714285714285714,0.06666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20066,524,Xenorhabdus,stockiae,5.605802066295998,0.8888888888888884,0.7857142857142856,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20067,525,Xenorhabdus,stockiae,5.5093883366279774,1.0,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20068,526,Xenorhabdus,stockiae,5.575949103146316,0.8888888888888884,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20070,527,Photorhabdus,luminescens,5.545177444479562,1.0,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20071,528,Xenorhabdus,stockiae,5.62040086571715,0.8888888888888884,0.7142857142857144,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20073,529,Xenorhabdus,stockiae,5.605802066295998,0.6666666666666665,0.9285714285714284,0.06666666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
20074,530,Xenorhabdus,stockiae,4.394449154672439,1.0,1.0,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20075,531,Xenorhabdus,stockiae,4.304065093204169,1.0,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20076,532,Xenorhabdus,stockiae,4.394449154672439,1.0,0.8571428571428572,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20077,533,Photorhabdus,luminescens,0.0,0.6666666666666665,1.0,0.06666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20078,534,Xenorhabdus,stockiae,5.402677381872279,0.4444444444444442,0.6428571428571428,0.4666666666666667,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20079,535,Xenorhabdus,stockiae,5.365976015021851,1.0,0.5714285714285714,0.06666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
